cellTh0,tau0,bulkFactor,sawDmg0,etchT,etch_t,etchPrev,NaOH,propanol,textT,text_t,exhaust,HFconc,HClconc,clean_t,rinse_t,Pconc,diffV,diffTdry,diffT2,plasmaP,plasma_t,PECVD_t,PECVD_T,SiH4,NH4,dAl,posAl,negAl,phiAl,pAl,muAl,vAl,dAg,posAg,negAg,phiAg,pAg,muAg,vAg,wAg0,pitchAg,O2,N2,fireV,fireTdry,fireT2
160,50,0,8,0,0,0,1,1,50,0,0,0,0,0,0,10,0.1,100,700,150,2,1,0,1,1,50,0,0,20,1,1,1,50,0,0,20,1,1,1,50,1,0,0,1,100,700
280,1000,2,12,90,40,40,3,10,100,30,4,30,30,10,10,100,1,300,1000,1500,20,30,400,5,5,250,30,30,120,10,10,10,250,30,30,120,10,10,10,250,6,100,20,10,300,1000
